"","party","vote","sim","nao","abs","falta","obs","tot"
"600","PSL","vote.6378",1,0,0,0,0,1
"601","PSOL","vote.6378",4,0,0,0,0,4
"602","PT","vote.6378",50,1,1,11,0,63
"603","PTB","vote.6378",21,0,0,4,0,25
"604","PTC","vote.6378",1,0,0,1,0,2
"605","PTdoB","vote.6378",1,0,0,1,0,2
"606","PTN","vote.6378",3,0,0,1,0,4
"607","PV","vote.6378",7,0,0,1,0,8
"608","Solidarie","vote.6378",15,0,0,3,0,18
"609",NA,"vote.6378",0,0,0,1,0,1
"610","DEM","vote.6379",13,5,0,3,0,21
"611","PCdoB","vote.6379",11,0,0,2,0,13
"612","PDT","vote.6379",0,19,0,0,0,19
"613","PEN","vote.6379",0,1,0,1,0,2
"614","PHS","vote.6379",0,5,0,0,0,5
"615","PMDB","vote.6379",16,35,1,14,0,66
"616","PMN","vote.6379",0,2,0,1,0,3
"617","PP","vote.6379",3,29,0,8,0,40
"618","PPS","vote.6379",9,0,1,1,0,11
"619","PR","vote.6379",4,25,1,4,0,34
"620","PRB","vote.6379",0,17,0,3,0,20
"621","PROS","vote.6379",9,3,0,0,0,12
"622","PRP","vote.6379",0,3,0,0,0,3
"623","PRTB","vote.6379",0,1,0,0,0,1
"624","PSB","vote.6379",2,24,1,5,0,32
"625","PSC","vote.6379",0,9,0,4,0,13
"626","PSD","vote.6379",20,10,0,4,0,34
"627","PSDB","vote.6379",0,49,0,4,0,53
"628","PSDC","vote.6379",0,2,0,0,0,2
"629","PSL","vote.6379",1,0,0,0,0,1
"630","PSOL","vote.6379",3,0,0,1,0,4
"631","PT","vote.6379",48,7,2,6,0,63
"632","PTB","vote.6379",2,19,1,3,0,25
"633","PTC","vote.6379",1,0,0,1,0,2
"634","PTdoB","vote.6379",0,2,0,0,0,2
"635","PTN","vote.6379",3,1,0,0,0,4
"636","PV","vote.6379",0,7,0,1,0,8
"637","Solidarie","vote.6379",12,2,0,4,0,18
"638",NA,"vote.6379",0,0,0,1,0,1
"639","DEM","vote.6380",1,18,0,2,0,21
"640","PCdoB","vote.6380",1,9,0,3,0,13
"641","PDT","vote.6380",1,14,0,4,0,19
"642","PEN","vote.6380",0,1,0,1,0,2
"643","PHS","vote.6380",0,3,0,2,0,5
"644","PMDB","vote.6380",12,40,0,14,0,66
"645","PMN","vote.6380",0,2,0,1,0,3
"646","PP","vote.6380",3,28,0,9,0,40
"647","PPS","vote.6380",10,0,0,1,0,11
"648","PR","vote.6380",0,25,0,9,0,34
"649","PRB","vote.6380",0,17,0,3,0,20
"650","PROS","vote.6380",0,11,0,1,0,12
"651","PRP","vote.6380",0,3,0,0,0,3
"652","PRTB","vote.6380",0,1,0,0,0,1
"653","PSB","vote.6380",10,18,1,3,0,32
"654","PSC","vote.6380",1,7,0,5,0,13
"655","PSD","vote.6380",0,29,0,5,0,34
"656","PSDB","vote.6380",10,38,0,5,0,53
"657","PSDC","vote.6380",1,1,0,0,0,2
"658","PSL","vote.6380",0,1,0,0,0,1
"659","PSOL","vote.6380",3,1,0,0,0,4
"660","PT","vote.6380",3,49,1,10,0,63
"661","PTB","vote.6380",1,17,1,6,0,25
"662","PTC","vote.6380",0,1,0,1,0,2
"663","PTdoB","vote.6380",0,2,0,0,0,2
"664","PTN","vote.6380",3,1,0,0,0,4
"665","PV","vote.6380",0,7,0,1,0,8
"666","Solidarie","vote.6380",0,13,0,5,0,18
"667",NA,"vote.6380",0,0,0,1,0,1
"668","DEM","vote.6381",0,15,0,6,0,21
"669","PCdoB","vote.6381",0,10,0,3,0,13
"670","PDT","vote.6381",0,16,2,1,0,19
"671","PEN","vote.6381",0,1,0,1,0,2
"672","PHS","vote.6381",0,2,0,3,0,5
"673","PMDB","vote.6381",0,50,0,16,0,66
"674","PMN","vote.6381",0,2,0,1,0,3
"675","PP","vote.6381",0,32,0,8,0,40
"676","PPS","vote.6381",0,10,0,1,0,11
"677","PR","vote.6381",0,23,2,9,0,34
"678","PRB","vote.6381",0,15,0,5,0,20
"679","PROS","vote.6381",0,10,0,2,0,12
"680","PRP","vote.6381",0,3,0,0,0,3
"681","PRTB","vote.6381",0,1,0,0,0,1
"682","PSB","vote.6381",0,26,3,3,0,32
"683","PSC","vote.6381",0,9,1,3,0,13
"684","PSD","vote.6381",0,27,0,7,0,34
"685","PSDB","vote.6381",0,44,0,9,0,53
"686","PSDC","vote.6381",0,2,0,0,0,2
"687","PSL","vote.6381",0,1,0,0,0,1
"688","PSOL","vote.6381",0,4,0,0,0,4
"689","PT","vote.6381",0,54,1,8,0,63
"690","PTB","vote.6381",0,20,0,5,0,25
"691","PTC","vote.6381",0,1,0,1,0,2
"692","PTdoB","vote.6381",0,2,0,0,0,2
"693","PTN","vote.6381",0,4,0,0,0,4
"694","PV","vote.6381",0,7,0,1,0,8
"695","Solidarie","vote.6381",0,13,0,5,0,18
"696",NA,"vote.6381",0,0,0,1,0,1
"697","DEM","vote.6382",13,3,1,4,0,21
"698","PCdoB","vote.6382",11,0,0,2,0,13
"699","PDT","vote.6382",19,0,0,0,0,19
"700","PEN","vote.6382",1,0,0,1,0,2
"701","PHS","vote.6382",4,0,1,0,0,5
"702","PMDB","vote.6382",50,5,0,11,0,66
"703","PMN","vote.6382",2,0,0,1,0,3
"704","PP","vote.6382",33,2,0,5,0,40
"705","PPS","vote.6382",10,0,0,1,0,11
"706","PR","vote.6382",30,0,0,4,0,34
"707","PRB","vote.6382",17,0,0,3,0,20
"708","PROS","vote.6382",9,2,1,0,0,12
"709","PRP","vote.6382",3,0,0,0,0,3
"710","PRTB","vote.6382",1,0,0,0,0,1
"711","PSB","vote.6382",27,0,2,3,0,32
"712","PSC","vote.6382",10,1,0,2,0,13
"713","PSD","vote.6382",30,1,1,2,0,34
"714","PSDB","vote.6382",40,4,4,5,0,53
"715","PSDC","vote.6382",0,2,0,0,0,2
"716","PSL","vote.6382",1,0,0,0,0,1
"717","PSOL","vote.6382",3,1,0,0,0,4
"718","PT","vote.6382",34,19,4,6,0,63
"719","PTB","vote.6382",21,1,0,3,0,25
"720","PTC","vote.6382",1,0,0,1,0,2
"721","PTdoB","vote.6382",2,0,0,0,0,2
"722","PTN","vote.6382",4,0,0,0,0,4
"723","PV","vote.6382",5,1,1,1,0,8
"724","Solidarie","vote.6382",11,1,0,6,0,18
"725",NA,"vote.6382",0,0,0,1,0,1
"726","DEM","vote.6384",11,8,0,2,0,21
"727","PCdoB","vote.6384",0,11,0,2,0,13
"728","PDT","vote.6384",17,0,1,1,0,19
"729","PEN","vote.6384",1,0,0,1,0,2
"730","PHS","vote.6384",5,0,0,0,0,5
"731","PMDB","vote.6384",49,9,0,8,0,66
"732","PMN","vote.6384",2,0,0,1,0,3
"733","PP","vote.6384",23,10,1,6,0,40
"734","PPS","vote.6384",1,10,0,0,0,11
"735","PR","vote.6384",31,1,0,2,0,34
"736","PRB","vote.6384",16,1,0,3,0,20
"737","PROS","vote.6384",11,1,0,0,0,12
"738","PRP","vote.6384",3,0,0,0,0,3
"739","PRTB","vote.6384",1,0,0,0,0,1
"740","PSB","vote.6384",13,14,2,3,0,32
"741","PSC","vote.6384",11,0,0,2,0,13
"742","PSD","vote.6384",11,19,0,4,0,34
"743","PSDB","vote.6384",36,14,1,2,0,53
"744","PSDC","vote.6384",2,0,0,0,0,2
"745","PSL","vote.6384",1,0,0,0,0,1
"746","PSOL","vote.6384",0,4,0,0,0,4
"747","PT","vote.6384",25,32,1,5,0,63
"748","PTB","vote.6384",24,0,0,1,0,25
"749","PTC","vote.6384",1,0,0,1,0,2
"750","PTdoB","vote.6384",2,0,0,0,0,2
"751","PTN","vote.6384",4,0,0,0,0,4
"752","PV","vote.6384",2,4,0,2,0,8
"753","Solidarie","vote.6384",14,0,0,4,0,18
"754",NA,"vote.6384",0,1,0,0,0,1
"755","DEM","vote.6385",6,9,0,6,0,21
"756","PCdoB","vote.6385",0,10,0,3,0,13
"757","PDT","vote.6385",1,2,0,1,15,19
"758","PEN","vote.6385",0,1,0,1,0,2
"759","PHS","vote.6385",4,1,0,0,0,5
"760","PMDB","vote.6385",8,47,1,10,0,66
"761","PMN","vote.6385",2,0,0,1,0,3
"762","PP","vote.6385",7,21,2,10,0,40
"763","PPS","vote.6385",11,0,0,0,0,11
"764","PR","vote.6385",2,25,1,6,0,34
"765","PRB","vote.6385",3,11,1,5,0,20
"766","PROS","vote.6385",2,2,1,0,7,12
"767","PRP","vote.6385",1,2,0,0,0,3
"768","PRTB","vote.6385",0,1,0,0,0,1
"769","PSB","vote.6385",3,1,0,3,25,32
"770","PSC","vote.6385",3,7,0,3,0,13
"771","PSD","vote.6385",21,5,0,8,0,34
"772","PSDB","vote.6385",2,1,0,2,48,53
"773","PSDC","vote.6385",1,1,0,0,0,2
"774","PSL","vote.6385",0,1,0,0,0,1
"775","PSOL","vote.6385",3,1,0,0,0,4
"776","PT","vote.6385",2,48,3,10,0,63
"777","PTB","vote.6385",1,21,0,3,0,25
"778","PTC","vote.6385",0,1,0,1,0,2
"779","PTdoB","vote.6385",1,1,0,0,0,2
"780","PTN","vote.6385",0,3,0,1,0,4
"781","PV","vote.6385",1,5,0,2,0,8
"782","Solidarie","vote.6385",3,2,0,5,8,18
"783",NA,"vote.6385",1,0,0,0,0,1
"784","DEM","vote.6386",1,14,0,6,0,21
"785","PCdoB","vote.6386",0,8,0,5,0,13
"786","PDT","vote.6386",0,17,0,2,0,19
"787","PEN","vote.6386",0,1,0,1,0,2
"788","PHS","vote.6386",1,2,0,2,0,5
"789","PMDB","vote.6386",0,42,0,24,0,66
"790","PMN","vote.6386",0,1,0,2,0,3
"791","PP","vote.6386",0,23,1,16,0,40
"792","PPS","vote.6386",0,9,0,2,0,11
"793","PR","vote.6386",1,28,0,5,0,34
"794","PRB","vote.6386",0,13,0,7,0,20
"795","PROS","vote.6386",0,9,0,3,0,12
"796","PRP","vote.6386",0,3,0,0,0,3
"797","PRTB","vote.6386",0,1,0,0,0,1
"798","PSB","vote.6386",0,26,0,6,0,32
"799","PSC","vote.6386",0,8,0,5,0,13
"800","PSD","vote.6386",1,17,0,16,0,34
"801","PSDB","vote.6386",0,38,0,15,0,53
"802","PSDC","vote.6386",0,2,0,0,0,2
"803","PSL","vote.6386",0,1,0,0,0,1
"804","PSOL","vote.6386",0,4,0,0,0,4
"805","PT","vote.6386",0,36,1,26,0,63
"806","PTB","vote.6386",0,12,0,13,0,25
"807","PTC","vote.6386",0,0,0,2,0,2
"808","PTdoB","vote.6386",0,2,0,0,0,2
"809","PTN","vote.6386",0,3,0,1,0,4
"810","PV","vote.6386",0,4,0,4,0,8
"811","Solidarie","vote.6386",0,9,0,9,0,18
"812",NA,"vote.6386",0,1,0,0,0,1
