id,name,party,state,vote.6350,vote.6351,vote.6352,vote.6354,vote.6356,vote.6357,vote.6358,vote.6359,vote.6360,vote.6362,vote.6363,vote.6368,vote.6369,vote.6370,vote.6371,vote.6372,vote.6373,vote.6374,vote.6375,vote.6377,vote.6378,vote.6379,vote.6380,vote.6381,vote.6382,vote.6384,vote.6385,vote.6386
42,HISSA ABRAHAO,PPS,AM,2,1,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,4,1,1,1,1,1,2,1,1,1,2
43,MARCOS ROTTA,PMDB,AM,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
44,EXPEDITO NETTO,Solidarie,RO,2,2,2,1,2,3,1,1,4,2,1,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
45,LINDOMAR GARCON,PMDB,RO,2,2,1,1,2,2,1,1,4,1,1,1,1,1,1,4,1,1,1,4,4,4,4,4,4,4,4,4
46,LUCIO MOSQUINI,PMDB,RO,2,2,1,1,2,2,1,1,2,1,4,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2
47,NILTON CAPIXABA,PTB,RO,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
48,LUIZ CLAUDIO,PR,RO,2,2,2,1,2,2,1,1,4,2,1,2,2,1,3,1,1,1,1,1,1,3,2,2,1,1,2,2
49,MARCOS ROGERIO,PDT,RO,2,2,3,2,1,3,2,1,2,2,4,2,1,1,2,1,1,2,1,3,1,2,2,2,1,1,5,2
50,MARINHA RAUPP,PMDB,RO,2,2,2,2,2,1,1,1,2,1,1,4,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
51,MARIANA CARVALHO,PSDB,RO,4,4,4,4,4,4,4,4,4,4,4,2,1,1,2,1,1,1,1,1,1,2,2,2,1,1,5,4
52,ANGELIM,PT,AC,2,2,2,2,1,3,2,1,4,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,4,2
53,ALAN RICK,PRB,AC,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2
54,FLAVIANO MELO,PMDB,AC,2,2,1,1,2,2,1,1,2,1,1,4,2,2,2,4,1,1,4,4,4,4,4,4,4,4,4,4
55,CESAR MESSIAS,PSB,AC,2,2,2,2,1,4,4,4,4,4,4,2,2,1,1,1,1,1,1,2,1,2,2,2,1,2,5,2
56,JESSICA SALES,PMDB,AC,4,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,4,1,1,4,4,4,4,4,4,1,2,2
57,LEO DE BRITO,PT,AC,2,2,2,2,1,3,2,2,4,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2
58,SIBA MACHADO,PT,AC,2,2,2,2,1,3,2,1,4,2,1,2,2,1,2,1,4,4,4,1,1,1,2,2,4,1,4,2
59,ROCHA,PSDB,AC,2,1,1,1,3,2,1,1,2,1,5,2,2,1,2,1,1,1,1,4,4,4,4,4,4,1,5,2
60,CARLOS HENRIQUE GAGUIM,PMDB,TO,2,2,1,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,2,4
61,DULCE MIRANDA,PMDB,TO,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2
62,JOSI NUNES,PMDB,TO,2,2,1,1,2,2,1,1,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2
63,LAZARO BOTELHO,PP,TO,2,2,1,1,2,2,1,1,2,2,1,1,4,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2
64,CESAR HALUM,PRB,TO,4,2,2,1,2,2,1,1,4,2,1,4,1,1,4,1,1,2,1,2,1,2,2,2,1,1,1,2
65,IRAJA ABREU,PSD,TO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,4,4,4,4
66,VICENTINHO JUNIOR,PSB,TO,4,2,2,1,2,2,1,1,4,4,4,1,2,1,1,1,1,1,1,2,1,2,4,4,4,4,4,4
67,PROFESSORA DORINHA SEABRA REZEN,DEM,TO,2,1,2,2,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2
68,ALUISIO MENDES,PSDC,MA,2,2,2,2,2,2,1,1,4,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2
70,CLEBER VERDE,PRB,MA,2,2,2,2,2,2,1,1,4,2,1,4,4,4,4,4,1,1,1,1,1,2,2,2,1,1,2,4
72,ANDRE FUFUCA,PEN,MA,4,2,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
73,ELIZIANE GAMA,PPS,MA,2,1,2,2,1,2,2,1,4,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2
74,HILDO ROCHA,PMDB,MA,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,2
75,JOAO CASTELO,PSDB,MA,4,1,1,1,3,2,1,1,4,1,5,4,2,1,2,1,1,1,1,1,1,2,2,2,1,1,5,4
76,JOAO MARCELO SOUZA,PMDB,MA,2,2,1,1,2,2,1,1,4,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
77,JOSE REINALDO,PSB,MA,2,2,1,1,1,2,1,1,4,1,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,5,2
78,JUNIOR MARRECA,PEN,MA,2,2,1,1,2,2,1,4,2,2,1,4,1,1,1,1,4,1,1,4,4,4,4,4,4,4,4,4
79,JUSCELINO FILHO,PRP,MA,4,2,1,1,2,2,1,1,4,4,1,2,2,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2
80,PEDRO FERNANDES,PTB,MA,2,2,2,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,2,2
81,RUBENS PEREIRA JUNIOR,PCdoB,MA,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,1,4,4,4,4,4,4,4,4,4
82,VICTOR MENDES,PV,MA,2,1,1,2,1,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2
83,WEVERTON ROCHA,PDT,MA,2,2,2,2,1,1,2,1,4,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,5,2
84,WALDIR MARANHAO,PP,MA,2,4,1,1,2,2,1,1,4,2,1,4,4,4,4,4,1,1,1,4,4,4,4,4,4,4,4,4
85,SARNEY FILHO,PV,MA,4,1,2,2,1,2,1,4,4,2,1,4,1,1,1,4,2,2,4,1,4,4,4,4,4,4,4,4
86,ZE CARLOS,PT,MA,2,2,2,2,1,3,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,2,2
87,ANIBAL GOMES,PMDB,CE,4,2,1,1,4,2,1,1,4,1,1,4,4,4,4,4,4,4,4,2,1,4,4,4,4,1,2,2
88,CHICO LOPES,PCdoB,CE,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,4,4,4,1,1,1,2,4,1,2,2,2
89,ANDRE FIGUEIREDO,PDT,CE,2,2,2,2,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,1,1,5,2
90,ARNON BEZERRA,PTB,CE,2,2,1,1,4,2,1,2,4,4,4,4,4,4,4,4,1,4,1,4,1,2,2,2,1,1,2,4
91,RONALDO MARTINS,PRB,CE,2,2,2,2,2,2,1,1,4,2,1,2,2,2,2,1,2,1,1,2,1,2,2,2,1,1,2,2
92,ADAIL CARNEIRO,PHS,CE,2,2,1,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2
